                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2952,                 2.7894,                  1.358,                      1,                0.13474,                0.86406,                0.61993,                 0.7078,                 2.4861,                0.86092,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.1183,                 1.3632,                 1.1129,                      1,                0.26356,                0.96055,                0.65654,                0.68168,                 2.3758,                0.87391,             0.00060772,             0.00060772,             0.00060772
                      3,                 1.0936,                 1.1769,                  1.131,                 0.9644,                0.70492,                0.96766,                0.74751,                0.72941,                 2.1847,                 0.9352,             0.00090278,             0.00090278,             0.00090278
                      4,                 1.1387,                 1.1192,                 1.1961,                0.93732,                0.49037,                 0.9411,                 0.7144,                0.77952,                 2.2334,                0.93463,              0.0011852,              0.0011852,              0.0011852
                      5,                 1.1134,                 1.0851,                 1.1616,                0.86253,                0.82293,                0.90317,                0.71093,                0.71872,                 1.6522,                0.94654,              0.0014549,              0.0014549,              0.0014549
                      6,                 1.1246,                 1.1089,                 1.1957,                0.78596,                0.78261,                0.86995,                 0.5871,                0.89328,                 1.4793,                0.99218,              0.0017119,              0.0017119,              0.0017119
                      7,                 1.0292,                 0.9845,                  1.112,                0.96336,                0.98361,                0.99308,                0.82672,                0.66986,                0.88524,                0.92359,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0326,                0.99879,                 1.1445,                0.98372,                0.99052,                0.99484,                0.78185,                0.74328,                0.89233,                0.94906,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0567,                0.88606,                 1.1296,                0.91785,                0.91803,                0.96789,                0.68829,                 1.0745,                 1.5877,                 1.0577,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0647,                0.88076,                 1.1422,                0.96727,                0.96908,                0.99198,                0.81158,                0.66109,                0.86689,                0.91357,              0.0016832,              0.0016832,              0.0016832
                     11,                 0.9849,                0.78983,                 1.1091,                0.99773,                      1,                  0.995,                0.86026,                0.53861,                0.66997,                0.85628,              0.0016436,              0.0016436,              0.0016436
                     12,                0.99253,                0.78088,                 1.0934,                0.95304,                0.99821,                0.99322,                0.87725,                0.55991,                0.68935,                0.86398,               0.001604,               0.001604,               0.001604
                     13,                0.99968,                0.77563,                 1.0875,                0.99851,                0.98361,                0.99424,                0.82272,                0.64092,                0.70597,                0.88022,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0407,                0.79207,                 1.1356,                0.95007,                0.93588,                0.98294,                0.84086,                0.57975,                0.66146,                0.89219,              0.0015248,              0.0015248,              0.0015248
                     15,                  0.947,                0.73286,                 1.1163,                0.99942,                0.98361,                0.99092,                0.84949,                0.57202,                0.57882,                0.88242,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92992,                 0.6853,                 1.0864,                0.99311,                      1,                  0.995,                0.85169,                0.65545,                0.56093,                0.90093,              0.0014456,              0.0014456,              0.0014456
                     17,                0.93379,                 0.6953,                 1.0999,                      1,                0.99788,                  0.995,                0.79897,                0.73326,                0.53454,                0.91764,               0.001406,               0.001406,               0.001406
                     18,                0.95718,                0.67304,                 1.1061,                0.98195,                0.98361,                 0.9942,                0.86573,                0.55306,                 0.5085,                0.88827,              0.0013664,              0.0013664,              0.0013664
                     19,                0.89988,                0.66154,                 1.0613,                0.97557,                0.98361,                0.99342,                0.82499,                0.65538,                0.55083,                0.92605,              0.0013268,              0.0013268,              0.0013268
                     20,                0.92295,                0.64085,                 1.0868,                0.99696,                0.98361,                0.99484,                0.87697,                0.53247,                0.48868,                0.87663,              0.0012872,              0.0012872,              0.0012872
                     21,                0.87161,                0.62444,                 1.0574,                0.99862,                0.98361,                0.99468,                 0.8899,                0.49883,                0.46551,                0.86109,              0.0012476,              0.0012476,              0.0012476
                     22,                0.88233,                0.60493,                 1.0531,                0.99725,                      1,                  0.995,                0.88139,                0.51934,                0.46286,                0.85313,               0.001208,               0.001208,               0.001208
                     23,                0.84287,                0.61047,                 1.0529,                      1,                0.98124,                0.99484,                0.90983,                0.47841,                0.43403,                 0.8389,              0.0011684,              0.0011684,              0.0011684
                     24,                0.80515,                0.57693,                 1.0213,                      1,                0.99932,                  0.995,                0.90229,                0.43608,                0.39938,                0.83089,              0.0011288,              0.0011288,              0.0011288
                     25,                0.82822,                0.55615,                 1.0223,                0.99941,                      1,                  0.995,                0.87759,                0.49999,                0.40655,                0.86361,              0.0010892,              0.0010892,              0.0010892
                     26,                0.81136,                0.59251,                 1.0261,                0.99548,                0.98361,                0.99484,                0.89796,                0.45692,                 0.3976,                0.84931,              0.0010496,              0.0010496,              0.0010496
                     27,                0.78494,                0.54274,                 1.0071,                0.99676,                      1,                  0.995,                0.91295,                0.40878,                0.36548,                0.82645,                0.00101,                0.00101,                0.00101
                     28,                0.79538,                0.54453,                 1.0133,                0.98025,                      1,                0.99484,                0.90758,                0.43266,                0.38102,                 0.8312,              0.0009704,              0.0009704,              0.0009704
                     29,                0.75532,                0.54689,                0.99122,                0.98259,                      1,                0.99452,                0.91214,                0.42309,                0.38356,                0.82813,              0.0009308,              0.0009308,              0.0009308
                     30,                0.75785,                0.52363,                0.98448,                0.99416,                      1,                  0.995,                0.92268,                0.38747,                0.36045,                0.82382,              0.0008912,              0.0008912,              0.0008912
                     31,                0.77879,                0.51679,                 1.0164,                0.99884,                      1,                  0.995,                 0.9279,                0.39722,                0.36587,                0.82739,              0.0008516,              0.0008516,              0.0008516
                     32,                0.74582,                0.51375,                0.99103,                      1,                0.97995,                0.99468,                0.92105,                0.39237,                0.37395,                0.83395,               0.000812,               0.000812,               0.000812
                     33,                0.77807,                0.53648,                 1.0117,                0.99663,                      1,                  0.995,                0.92158,                0.39332,                0.34223,                0.82503,              0.0007724,              0.0007724,              0.0007724
                     34,                0.75377,                0.51615,                0.99455,                0.99719,                      1,                  0.995,                0.91864,                0.37974,                0.33105,                  0.821,              0.0007328,              0.0007328,              0.0007328
                     35,                0.74531,                0.50669,                0.99503,                0.99516,                      1,                  0.995,                0.91871,                0.38525,                0.32019,                0.82067,              0.0006932,              0.0006932,              0.0006932
                     36,                0.70851,                0.47686,                0.97252,                0.98231,                      1,                0.99484,                0.93355,                0.36318,                0.32742,                0.81535,              0.0006536,              0.0006536,              0.0006536
                     37,                0.73453,                0.48719,                0.99889,                0.98285,                      1,                0.99484,                0.94059,                0.35747,                0.32507,                 0.8101,               0.000614,               0.000614,               0.000614
                     38,                0.72596,                0.48312,                0.99371,                0.98114,                      1,                0.99484,                0.92179,                0.38278,                0.33025,                0.81324,              0.0005744,              0.0005744,              0.0005744
                     39,                0.70622,                0.47687,                0.99445,                0.99341,                      1,                  0.995,                0.92312,                0.39195,                0.33927,                0.81817,              0.0005348,              0.0005348,              0.0005348
                     40,                0.67928,                0.47082,                0.97553,                 0.9955,                      1,                  0.995,                0.93024,                0.37671,                0.31292,                0.81237,              0.0004952,              0.0004952,              0.0004952
                     41,                0.60434,                0.41832,                0.93954,                 0.9969,                      1,                  0.995,                0.93982,                 0.3473,                0.30502,                0.80717,              0.0004556,              0.0004556,              0.0004556
                     42,                0.57308,                0.38731,                0.91693,                0.99727,                      1,                  0.995,                0.95631,                0.33313,                 0.2925,                0.80499,               0.000416,               0.000416,               0.000416
                     43,                0.57396,                0.38436,                0.91918,                0.99781,                      1,                  0.995,                0.95778,                0.33838,                0.29477,                0.80413,              0.0003764,              0.0003764,              0.0003764
                     44,                0.54436,                0.36641,                0.89585,                0.99639,                      1,                  0.995,                0.94376,                0.34509,                0.29982,                0.80406,              0.0003368,              0.0003368,              0.0003368
                     45,                0.54218,                 0.3689,                0.89754,                0.99493,                      1,                  0.995,                0.95477,                0.34737,                 0.3018,                0.80885,              0.0002972,              0.0002972,              0.0002972
                     46,                0.53877,                0.36198,                0.89959,                0.99319,                      1,                  0.995,                0.94371,                 0.3337,                0.29253,                 0.7995,              0.0002576,              0.0002576,              0.0002576
                     47,                0.54164,                0.36355,                0.89028,                0.99674,                      1,                  0.995,                0.94758,                0.33531,                 0.2864,                0.80755,               0.000218,               0.000218,               0.000218
                     48,                0.52581,                0.35493,                 0.8975,                      1,                0.99304,                  0.995,                0.94379,                0.35441,                0.28714,                0.81348,              0.0001784,              0.0001784,              0.0001784
                     49,                0.51795,                0.34466,                0.88957,                0.98123,                      1,                0.99484,                0.94293,                0.35801,                0.28189,                0.81045,              0.0001388,              0.0001388,              0.0001388
                     50,                0.51129,                0.35075,                0.88128,                      1,                0.99465,                  0.995,                0.96342,                0.33427,                0.27447,                0.80376,               9.92e-05,               9.92e-05,               9.92e-05
